Term,Amount of Files,Doc Location
'mid,1,4
'tis,2,"3,4"
'twas,1,4
abercrombie,1,4
acton,1,3
adamantine,1,2
add,1,1
adore,1,5
advance,1,4
advancing,1,4
afar,1,7
aflame,1,4
afloat,1,2
ah,1,6
alabama,1,4
alonge,1,7
amid,1,4
amidst,1,2
amoret,1,1
andrew,1,4
anger,1,4
anguish,1,4
anguished,1,7
answer,1,4
anticipate,1,2
anxious,1,3
april,2,"2,3"
arid,1,5
arm,1,4
arms,2,"2,3"
arose,1,4
array,1,4
art,1,3
artless,1,1
ashore,1,5
athwart,1,5
atom,1,5
aziza,1,5
azure,1,5
back,2,"2,7"
backward,1,7
backwards,1,5
baffled,1,4
balcony,1,6
bards,1,1
bare,1,5
baritarian,1,4
bars,1,5
battle,3,"2,3,4"
bay,1,4
bear,1,4
bearers,1,4
beast,1,4
beat,1,7
beats,1,5
beauteous,1,6
beauties,1,6
beautiful,1,7
beauty,3,"1,5,6"
beauty's,1,1
bedford,1,3
begin,1,4
beholt,1,1
beloved,1,7
bending,1,6
beneath,1,4
billow,1,2
birth,2,"3,7"
blaze,1,2
blazing,1,7
bleeding,1,4
blessed,1,2
blind,1,7
blinding,1,7
bliss,1,7
blisses,1,7
blood,2,"3,6"
bloodied,1,3
bloody,1,4
blow,1,5
blue,1,5
bluebird,1,3
bluebirds,1,3
blur,1,7
body,2,"6,7"
body's,1,7
bold,2,"2,4"
boldest,1,2
boom,1,2
bowed,1,6
brain,1,7
brand,1,2
brave,2,"2,4"
bravery,1,4
break,1,4
breaker,1,7
breast,3,"4,6,7"
breastworks,1,4
breath,3,"2,6,7"
breathed,1,6
breathless,1,7
breeze,1,5
brigade,1,4
bright,3,"1,2,6"
brine,1,2
bring,2,"2,3"
brings,1,1
britain's,1,2
british,3,"2,3,4"
broke,1,3
brooded,1,7
brother,1,3
brotherhood's,1,3
brotherly,1,3
brothers,1,2
brought,1,4
brow,1,4
brown,2,"3,4"
buck,1,4
built,1,4
bulchi's,1,4
bulldogs,1,4
bulwarks,1,2
burning,2,"6,7"
burnt,1,5
cabin,1,4
call,1,3
calm,2,"3,4"
calmer,1,3
cannon,1,4
cannons,1,4
captain,1,2
captives,1,4
care,1,4
caresses,1,6
carlisle,1,3
carroll,1,4
cast,1,6
ceased,2,"2,4"
champa,1,5
chaos,1,7
charger,1,4
charm,1,6
cheer,2,"1,2"
cheering,2,"2,4"
chelmsford,1,3
chief,1,2
chieftain,1,4
child,1,7
children,1,4
chime,1,2
chords,1,7
circling,1,5
cities',1,2
citron,1,5
clasp,1,3
clear,2,"1,3"
cleft,1,4
clings,1,6
close,2,"3,7"
coal,1,6
colonel,1,4
columns,1,4
commander,1,4
commanding,1,4
companion,1,4
compulsion,1,7
condoles,1,2
conflagration,1,2
conquer,1,2
consumed,1,7
controlled,1,4
cool,1,7
corpses,1,4
cosmic,1,7
cottonbales,1,4
couch's,1,5
count,1,4
courage,1,4
crawl,1,3
crawled,1,3
crawls,1,3
crews,1,2
cried,2,"2,4"
crooks,1,3
crowley,1,4
crown,2,"2,4"
cry,2,"3,7"
curve,1,5
damned,1,3
dane,1,2
dark,2,"6,7"
darkness,2,"3,7"
dawes,1,3
dawn,1,3
day,3,"2,3,4"
day's,1,2
days,2,"6,7"
dead,2,"3,4"
deadly,2,"2,4"
dearly,1,7
death,3,"2,4,7"
deathshade,1,2
december,1,4
decide,1,1
deck,1,2
decrees,1,1
deep,3,"2,6,7"
delicate,1,5
delight,1,5
denmark,1,2
denmark's,1,2
depths,1,7
desire,3,"5,6,7"
despairing,1,7
despising,1,7
destroyer,1,7
determined,1,2
devens,1,3
die,1,5
died,2,"2,3"
dilate,1,7
dim,1,7
din,1,4
discipline,1,4
disclosing,1,7
disguising,1,7
distinct,1,4
doe,1,4
dog,1,4
dominique,1,4
doom,1,4
door,2,"3,7"
doorstep,1,3
doubt,1,5
drank,1,6
draw,2,"3,4"
drawing,1,4
drew,1,7
drifted,1,2
drink,1,7
drive,1,4
drooping,1,7
dropp'd,1,4
dropped,1,3
drown,1,7
dry,1,5
dust,1,5
dwell,1,3
dwelt,1,7
dying,1,4
eager,1,4
eagleeyed,1,4
earch,1,4
earth,4,"3,4,5,7"
earthwork,1,4
easily,1,4
eastern,1,4
eclipse,1,2
ecstasies,1,7
edward's,1,4
effort,1,4
eighteenpounders,1,4
eighth,1,4
elbow,1,3
elsinore,1,2
enchant,1,1
england,1,2
england's,1,2
ere,2,"3,4"
erect,1,4
ether,1,7
evening,1,4
evenings,1,6
everlasting,1,7
eves,1,6
excel,1,1
exulting,1,4
eye,4,"1,3,4,5"
eyes,3,"3,6,7"
face,2,"5,7"
fade,2,"1,5"
fades,1,4
fading,1,5
faintly,1,4
fair,2,"1,5"
faithful,1,2
fall,1,3
falls,1,4
falsehood,1,4
fame,2,"2,3"
fasting,1,4
fatal,1,4
fathom,1,2
fear,1,4
fearless,1,4
feathery,1,5
feeble,1,2
feel,1,4
feet,4,"2,4,5,6"
fell,2,"3,4"
fellow,1,4
felt,2,"4,7"
ferrying,1,3
festal,1,2
fever,1,4
fibre,1,5
field,1,4
fierce,3,"2,4,7"
fiercest,1,4
fight,1,4
fighting,1,4
file,1,3
film,1,6
final,1,4
find,1,7
fine,2,"4,7"
fingers,2,"4,7"
finish,1,4
fire,5,"3,4,5,6,7"
fired,1,4
firelight,1,4
fires,2,"2,7"
firmly,1,4
fitted,1,5
fix'd,1,1
flame,2,"4,7"
flamed,1,7
flaming,1,7
flare,1,5
fled,1,4
fleet,1,2
fleeter,1,2
flesh,1,7
flew,1,2
flippancies,1,7
flood,1,6
floods,1,4
flow,1,7
flowed,2,"6,7"
flowers,1,5
flung,1,7
flush,1,7
flushed,1,2
fly,1,4
foe,2,"2,4"
foeman,1,4
fog,1,4
fold,1,4
fool,1,4
force,1,4
foremost,1,4
forgot,1,6
fortyfourth,1,4
found,2,"4,5"
fourteen,1,4
fraternal,1,6
freedom,1,3
friend,1,4
frolic,1,1
fronds,1,5
frown,1,4
full,3,"2,3,5"
fun,1,7
funeral,1,2
fuse,1,7
fustian,1,3
future's,1,3
gain,1,4
gallant,2,"2,4"
gardens,1,5
gave,2,"2,7"
gay,1,7
gayly,1,7
gaze,1,3
gentle,2,"4,6"
gibbs,1,4
giddiness,1,7
gift,1,1
glad,1,7
gladness,1,1
glance,1,4
glare,1,7
glood,1,3
gloom,1,2
glorious,2,"2,7"
glory,2,"2,4"
glow,1,5
god,2,"3,4"
god's,1,7
godly,1,3
golden,1,5
good,3,"2,3,4"
gore,1,3
gorges,1,4
grace,1,7
gracious,1,7
grapeshot,1,4
grasping,1,4
grave,1,2
gray,1,4
green,1,3
greet,1,4
grew,2,"4,5"
grief,1,2
ground,1,4
grounding,1,3
grow,1,7
gulf,1,6
gun,2,"2,3"
gushed,1,3
hadley,1,3
hailed,1,2
hair,1,5
hairs,1,4
half,3,"1,3,4"
halfseen,1,7
hand,2,"2,3"
hands,2,"6,7"
happiest,1,1
happy,1,6
harrington,1,3
harringtons,1,3
hast,1,3
haste,1,3
hastily,1,4
hasty,1,4
hath,1,3
haughtily,1,3
havoc,1,2
head,4,"3,4,6,7"
hear,1,4
heard,2,"3,4"
heart,5,"1,4,5,6,7"
hearts,2,"2,4"
heaven,2,"2,6"
heavenly,1,3
heavy,1,4
heedless,1,4
held,1,2
hells,1,7
helpless,1,7
hid,1,4
hidden,2,"5,7"
high,1,4
highhoarse,1,3
highlanders,1,4
hill,1,3
hit,1,3
hold,1,4
homespuns,1,3
homespuns',1,3
honest,1,3
horse,1,4
hose,1,3
hour,1,4
hours,2,"1,4"
house,1,3
housedoor,1,3
huge,1,7
hundreds,1,4
hurled,1,4
hurricane,1,2
hurt,1,3
hurtle,1,4
hushed,1,7
illumined,1,6
imperishable,1,6
infinite,2,"5,6"
instant,1,1
intense,1,7
invaders,1,4
ire,1,3
ironic,1,7
jackson,1,4
jackson's,1,4
jaded,1,7
january,1,4
jocund,1,7
john,1,3
joy,2,"2,7"
joyous,2,"4,7"
jubilating,1,7
keane,1,4
keys,1,7
killed,1,3
king,1,2
kiss,1,3
kisses,1,6
knee,1,7
knees,1,6
knew,2,"3,4"
labored,1,4
laggard,1,4
land,1,2
languid,1,6
laugh,1,7
laurels,1,4
lay,3,"2,3,5"
leader,1,4
leads,1,4
leap,1,3
leap'd,1,4
leaps,1,4
leave,1,4
led,2,"2,4"
left,1,4
leviathans,1,2
levies,1,4
lexington,1,3
liberty,1,3
lie,2,"3,4"
lies,2,"3,4"
lieutenants,1,4
life,2,"4,7"
life's,2,"1,6"
lift,1,3
lifted,1,4
lifts,1,3
light,5,"2,3,4,5,7"
lighted,1,2
lightly,1,7
lights,1,7
likewise,1,3
lily,1,1
limb,1,4
limbs,1,4
lincoln,1,3
line,2,"2,4"
lines,1,3
lips,2,"2,5"
lit,1,4
littleton,1,3
living,1,7
lofty,1,2
log,1,4
looked,2,"2,3"
loosened,1,5
lose,1,5
losses,1,4
loudly,1,4
lovable,1,7
love,3,"3,5,7"
love's,1,1
loved,2,"5,7"
loveliness,1,7
lovely,1,6
lovers,1,1
loving,1,7
lure,1,7
lusty,1,4
mad,1,7
maddens,1,5
made,3,"4,6,7"
major,1,4
make,2,"1,2"
maker,1,7
makes,1,3
making,1,7
man,1,4
march,1,4
mark'd,1,4
marked,2,"3,4"
marshall'd,1,4
measure,1,7
measured,1,4
meet,4,"2,4,6,7"
melt,1,4
memories,1,6
memory,1,1
men,3,"2,3,4"
mermaid's,1,2
mesh,1,7
met,1,7
mien,1,1
mine,1,4
mirth,2,"1,7"
mist,1,4
mistress,1,6
mistresses,1,6
mold,1,4
moment,1,4
monstrous,1,7
mood,1,7
moon,1,7
moonbeams,1,5
moons,1,7
morn,2,"2,3"
morning,2,"3,4"
morning's,1,3
mother,1,6
mountain,1,4
mournful,1,2
move,1,6
moved,1,7
movement,1,4
moving,1,7
munroe,1,3
murmur,1,4
music,2,"1,7"
music's,1,7
nakedness,1,7
native,2,"1,4"
naught,1,1
nay,1,3
nearer,1,4
nebulous,1,7
neighbor,1,3
nelson,1,2
nerves,1,5
night,4,"3,4,5,6"
nights,1,7
ninetythird,1,4
nocturne,1,7
north,1,2
o,3,"3,5,6"
o'clock,1,3
o'er,4,"2,3,4,6"
oak,1,2
ocean,1,5
opened,1,7
opening,1,7
orders,1,4
orgiastic,1,7
orleans,1,4
owe,1,1
pages,1,7
pain,1,7
pains,1,7
pakenham,1,4
pale,2,"2,5"
pallid,1,4
palm,2,"3,5"
palms,1,5
panic,1,4
pardons,1,3
parker,1,3
part,1,1
passed,1,4
passion's,1,7
passionate,2,"5,7"
past,2,"6,7"
path,2,"2,3"
pathway,1,4
patience,1,4
patriot,1,3
paul,1,3
paved,1,4
peace,1,2
peal'd,1,4
people,1,2
perfume,1,6
perfumes,1,6
person,1,4
plain,1,4
plainly,1,3
plangent,1,7
play,1,7
playing,1,5
pleasure,2,"6,7"
plunged,1,6
point,1,7
poisonous,1,6
poorer,1,4
porterthese,1,3
pour,1,4
powder,1,4
power,2,"1,4"
powers,1,1
prayer,1,4
prescott,1,3
pressed,1,5
pride,1,2
prime,1,1
prince,1,2
printed,1,5
profound,1,6
prospect,1,1
proud,2,"2,4"
proudly,1,2
psalm,1,3
pulses,2,"5,7"
pulsing,1,6
puts,1,3
queen,1,6
quick,2,"3,4"
quickly,1,4
quiet,1,5
rain,1,4
raise,1,2
raised,1,4
rally,1,4
ramparts,1,4
ran,1,4
ranges,1,4
ranks,1,4
rapid,1,7
raw,1,4
reached,1,3
rear,1,4
rebels,1,3
reborn,1,6
recall,1,6
reckless,1,7
red,3,"3,4,7"
redcoats,1,3
reeling,1,7
reform'd,1,4
remember,1,5
remembered,1,4
renown,1,2
repose,1,2
responded,1,4
rest,2,"4,5"
rested,1,4
retreated,1,4
revere,1,3
rich,1,7
rifle,1,4
rifles,1,4
rightly,1,1
ring,1,4
ringing,1,4
riou,1,2
rippled,1,7
rise,3,"3,6,7"
rivershore,1,3
road,1,4
roar,1,4
roaring,2,"4,7"
robin,1,3
roll'd,1,4
rolls,1,2
rose,3,"1,2,7"
roseate,1,5
roseleaf,1,5
rosevapour,1,6
round,4,"2,3,4,6"
rub,1,3
rude,1,4
ruin,1,4
ruinous,1,7
run,1,3
rushed,2,"2,3"
rushes,1,4
rushing,1,4
sable,1,5
saffron,1,7
sail,1,2
salamanca,1,4
sang,1,7
sarcastic,1,7
sat,1,4
satin's,1,7
save,3,"2,3,4"
scales,1,4
scarcely,1,7
scarlet,1,4
scene,1,2
scenes,2,"1,4"
scented,1,5
scotsmen,1,4
screaming,1,7
sea,1,5
seas,1,6
seductive,1,7
send,1,5
sending,1,4
sense,1,5
senses,1,7
serene,1,3
set,1,7
shade,1,5
shades,1,2
shadowed,1,7
shalt,1,6
shame,1,7
sharp,1,4
sharply,1,4
shatter'd,1,4
shattered,1,2
shines,1,2
ships,1,2
shone,3,"2,4,7"
shoot,1,4
shore,1,4
short,2,"4,7"
shots,2,"2,4"
shoulder,1,7
shouting,1,4
shouts,2,"3,4"
show,2,"4,7"
shows,1,4
shrunken,1,4
sigh,1,2
sight,2,"2,4"
sighted,1,4
sign,2,"2,4"
silence,2,"2,4"
silver,1,5
simple,1,7
sin,2,"5,7"
sing,3,"2,3,7"
singing,1,2
single,1,4
sinking,1,7
sir,1,4
sires,1,4
skin,1,5
sky,1,5
slack,1,2
slain,1,4
sleep,2,"2,5"
sleepless,1,4
slender,2,"5,7"
slept,1,6
slow,2,"5,7"
slowly,2,"2,4"
slumber,1,5
small,1,4
smile,2,"1,7"
smiled,1,7
smiling,1,2
smoke,1,4
snow,1,4
soared,1,4
sod,1,3
soft,4,"2,5,6,7"
softly,1,4
soldiers,1,4
sole,1,4
sombre,1,5
song,1,2
soothe,1,5
sorely,1,4
soul,3,"4,6,7"
souls,1,2
sound,1,6
sounds,1,2
space,3,"2,6,7"
speak,1,4
speaking,1,1
speechless,1,7
spell,1,6
spirit's,1,7
spite,2,"1,4"
splendor,1,7
spoke,1,2
spott's,1,4
spread,1,2
staggers,1,4
stanchless,1,4
stand,2,"3,4"
star,1,7
stare,1,3
starlight,1,5
stars,2,"5,7"
steady,1,4
steep,1,2
step,2,"3,4"
stirr'd,1,4
stirring,1,4
stood,1,4
stormers,1,4
stormy,1,2
story,1,4
stout,2,"3,4"
streamed,1,7
streets,1,7
strife,1,4
strike,2,"2,3"
stroke,1,3
strong,1,6
stronger,1,4
strove,1,7
struck,1,7
studious,1,1
subject,1,1
submission,1,2
subtle,1,7
sudden,1,4
suffering,1,7
sun,4,"2,3,4,7"
suns,2,"6,7"
sunset,1,5
sunshine,1,1
swamps,1,4
swampy,1,4
sway,1,1
swaying,1,7
sweet,4,"1,5,6,7"
swift,1,4
swiftly,1,7
swung,1,5
talk'd,1,4
tartan,1,4
ten,1,2
tender,1,3
tennessee,1,4
tense,1,5
terror,2,"4,7"
thee,1,3
thin,1,4
thine,1,3
thing,3,"3,5,7"
things,2,"5,6"
thirtytwos,1,4
thou,2,"3,6"
thought,2,"4,6"
thoughts,1,5
thread,1,4
throat,1,5
thrown,2,"5,7"
thunder,1,4
thunders,1,4
thy,2,"2,3"
tide's,1,7
tidings,1,2
till,2,"2,4"
time,3,"1,2,7"
tint,1,5
tire,1,4
titanic,1,7
today,1,4
told,1,4
torment,1,5
torn,1,7
tornado,1,4
tortured,1,7
touch,1,5
touched,1,5
travel,1,3
travel'd,1,4
trees,1,5
trembled,1,7
trembling,1,7
tremulous,1,7
trigger,1,4
triggers,1,4
trooping,1,3
troubled,1,7
true,1,2
trust,1,4
trustfully,1,7
tuneful,1,1
turn,1,7
turned,2,"4,7"
twain,1,4
twentyfour,1,4
twilights,1,6
unbounded,1,1
undreamed,1,7
unmoved,1,4
unstirred,1,3
unsullied,1,1
uproar,1,2
upward,1,4
utter,1,4
vain,1,4
van,1,2
vast,1,7
veiled,1,6
veined,1,5
veins,1,7
victor,1,2
vigils,1,4
village,1,3
villagegreen,1,3
violet,1,5
voice,2,"3,4"
voices,1,3
volleys,1,4
vows,1,6
wail,1,2
wait,1,4
waited,1,4
waiting,1,4
waned,1,5
warm,1,6
waste,1,4
watched,1,3
wave,1,2
waver,1,4
waves,1,4
waxed,1,5
weak,1,4
wheeling,1,7
whilst,1,2
whirled,1,7
whirls,1,7
white,3,"4,5,7"
wide,2,"2,7"
wife,1,3
wild,2,"2,7"
wildly,1,2
wilkinson,1,4
window,1,3
winds,2,"2,5"
winecup,1,2
wipe,1,3
wisdom,1,1
wise,1,3
wistfully,1,7
withdrew,1,2
woeful,1,2
won,1,4
woodman,1,3
word,1,3
work,1,4
wound,1,3
wounded,2,"3,4"
wounds,1,2
yawn,1,3
yearned,1,7
yearning,1,7
yeomen,1,3
yetshe,1,1
yield,1,2
yon,1,3
you'd,1,4
young,3,"4,5,7"
youth,1,1
youth's,1,5
youths,1,1
